UF;Cod_IBGE;Munic¡pio;Pop_Estimada
MG;310010;Abadia dos Dourados;6989
MG;310020;Abaet‚;23237
MG;310030;Abre Campo;13454
MG;310040;Acaiaca;3994
MG;310050;A‡ucena;9470
MG;310060;µgua Boa;13735
MG;310070;µgua Comprida;1999
MG;310080;Aguanil;4486
MG;310090;µguas Formosas;19207
MG;310100;µguas Vermelhas;13539
MG;310110;Aimor‚s;25167
MG;310120;Aiuruoca;6003
MG;310130;Alagoa;2674
MG;310140;Albertina;3007
MG;310150;Al‚m Para¡ba;35362
MG;310160;Alfenas;79996
MG;310163;Alfredo Vasconcelos;6907
MG;310170;Almenara;41896
MG;310180;Alpercata;7424
MG;310190;Alpin¢polis;19853
MG;310200;Alterosa;14466
MG;310205;Alto Capara¢;5847
MG;310210;Alto Rio Doce;11000
MG;310220;Alvarenga;3907
MG;310230;Alvin¢polis;15203
MG;310240;Alvorada de Minas;3606
MG;310250;Amparo do Serra;4713
MG;310260;Andradas;41077
MG;310270;Cachoeira de Paje£;9412
MG;310280;Andrelƒndia;12224
MG;310285;Angelƒndia;8520
MG;310290;Ant“nio Carlos;11445
MG;310300;Ant“nio Dias;9318
MG;310310;Ant“nio Prado de Minas;1598
MG;310320;Ara‡a¡;2347
MG;310330;Aracitaba;2063
MG;310340;Ara‡ua¡;36708
MG;310350;Araguari;117267
MG;310360;Arantina;2795
MG;310370;Araponga;8439
MG;310375;AraporÆ;6869
MG;310380;Arapu ;2834
MG;310390;Ara£jos;9273
MG;310400;Arax ;106229
MG;310410;Arceburgo;10772
MG;310420;Arcos;40092
MG;310430;Areado;15070
MG;310440;Argirita;2727
MG;310445;Aricanduva;5231
MG;310450;Arinos;17875
MG;310460;Astolfo Dutra;14179
MG;310470;Atal‚ia;12868
MG;310480;Augusto de Lima;4869
MG;310490;Baependi;19148
MG;310500;Baldim;7826
MG;310510;Bambu¡;23829
MG;310520;Bandeira;4795
MG;310530;Bandeira do Sul;5746
MG;310540;BarÆo de Cocais;32485
MG;310550;BarÆo de Monte Alto;5397
MG;310560;Barbacena;137313
MG;310570;Barra Longa;5131
MG;310590;Barroso;20810
MG;310600;Bela Vista de Minas;10255
MG;310610;Belmiro Braga;3429
MG;310620;Belo Horizonte;2512070
MG;310630;Belo Oriente;26700
MG;310640;Belo Vale;7715
MG;310650;Berilo;11932
MG;310660;Bert¢polis;4604
MG;310665;Berizal;4735
MG;310670;Betim;439340
MG;310680;Bias Fortes;3379
MG;310690;Bicas;14494
MG;310700;Biquinhas;2515
MG;310710;Boa Esperan‡a;40127
MG;310720;Bocaina de Minas;5090
MG;310730;Bocai£va;49979
MG;310740;Bom Despacho;50605
MG;310750;Bom Jardim de Minas;6474
MG;310760;Bom Jesus da Penha;4217
MG;310770;Bom Jesus do Amparo;6083
MG;310780;Bom Jesus do Galho;14935
MG;310790;Bom Repouso;10547
MG;310800;Bom Sucesso;17603
MG;310810;Bonfim;6868
MG;310820;Bonfin¢polis de Minas;5493
MG;310825;Bonito de Minas;11230
MG;310830;Borda da Mata;19412
MG;310840;Botelhos;14971
MG;310850;Botumirim;6319
MG;310855;Brasilƒndia de Minas;16538
MG;310860;Bras¡lia de Minas;32347
MG;310870;Br s Pires;4333
MG;310880;Bra£nas;4801
MG;310890;Braz¢polis;14459
MG;310900;Brumadinho;40103
MG;310910;Bueno BrandÆo;11001
MG;310920;Buen¢polis;10365
MG;310925;Bugre;3982
MG;310930;Buritis;24841
MG;310940;Buritizeiro;28056
MG;310945;Cabeceira Grande;6949
MG;310950;Cabo Verde;14075
MG;310960;Cachoeira da Prata;3603
MG;310970;Cachoeira de Minas;11547
MG;310980;Cachoeira Dourada;2692
MG;310990;Caetan¢polis;11624
MG;311000;Caet‚;44718
MG;311010;Caiana;5496
MG;311020;Cajuri;3987
MG;311030;Caldas;14480
